municipality;bfs_id;mean;gini;PLZ;Bevoelkerung;TA;BS;BZ;BU;h24;TG;FW;SZ
Niederösch;417;34086;0.367;2324;235;0;0;0;0;0;0;0;0
La FerriÃ¨re;435;32898;0.434;2333;529;0;0;0;0;0;0;0;0
Renan (BE);441;30989;0.4;2616;927;0;0;0;0;0;0;0;0
Saint-Imier;443;30966;0.453;2345;5140;0;0;0;0;0;0;0;0
Sonvilier;445;28992;0.42;2333;1237;0;0;0;0;0;0;0;0
Villeret;448;33326;0.449;2345;924;0;0;0;0;0;0;0;0
Sauge;449;33630;0.461;2535;819;0;0;0;0;0;0;0;0
PÃ©ry-La Heutte;450;33179;0.409;2535;1890;0;0;0;0;0;0;0;0
Gampelen;495;38495;0.409;3236;953;0;0;0;0;0;0;0;0
Grindelwald;576;32484;0.451;3816;3810;0;0;0;0;0;0;0;0
Lauterbrunnen;584;25231;0.51;3801;2279;0;0;0;0;0;0;0;0
Lütschental;586;27622;0.35;3816;226;0;0;0;0;0;0;0;0
Saxeten;591;22989;0.422;3813;93;0;0;0;0;0;0;0;0
Belprahon;681;36781;0.432;2744;291;0;0;0;0;0;0;0;0
Corcelles (BE);687;30108;0.412;2747;201;0;0;0;0;0;0;0;0
Eschert;692;33978;0.429;2743;367;0;0;0;0;0;0;0;0
Grandval;694;32325;0.382;2745;396;0;0;0;0;0;0;0;0
Perrefitte;701;33054;0.451;2742;467;0;0;0;0;0;0;0;0
Reconvilier;703;30646;0.427;2710;2344;0;0;0;0;0;0;0;0
Saicourt;706;30675;0.395;2712;644;0;0;0;0;0;0;0;0
Seehof;709;22413;0.314;2747;60;0;0;0;0;0;0;0;0
Sorvilier;711;31739;0.359;2736;288;0;0;0;0;0;0;0;0
Tavannes;713;29880;0.437;2710;3570;0;0;0;0;0;0;0;0
RebÃ©velier;715;24552;0.335;2717;42;0;0;0;0;0;0;0;0
Petit-Val;716;28519;0.394;2712;399;0;0;0;0;0;0;0;0
Valbirse;717;31778;0.424;2733;4012;0;0;0;0;0;0;0;0
Scheuren;747;36018;0.397;2556;437;0;0;0;0;0;0;0;0
Schwadernau;748;36357;0.439;2556;670;0;0;0;0;0;0;0;0
Oberwil im Simmental;766;26676;0.384;3764;789;0;0;0;0;0;0;0;0
Entlebuch;1002;32115;0.371;6105;3280;0;0;0;0;0;0;0;0
Werthenstein;1009;31114;0.353;6105;2180;0;0;0;0;0;0;0;0
Altwis;1022;39155;0.364;6286;461;0;0;0;0;0;0;0;0
Ermensee;1025;41723;0.407;6294;989;0;0;0;0;0;0;0;0
Schwarzenberg;1066;36310;0.373;6013;1726;0;0;0;0;0;0;0;0
Dagmersellen;1125;37801;0.359;6211;5608;0;0;0;0;0;0;0;0
Gettnau;1130;32209;0.349;6142;1158;0;0;0;0;0;0;0;0
Hergiswil bei Willisau;1132;29979;0.334;6125;1905;0;0;0;0;0;0;0;0
Schötz;1143;34082;0.357;6143;4530;0;0;0;0;0;0;0;0
Göschenen;1208;33174;0.342;6487;431;0;0;0;0;0;0;0;0
Hospental;1210;29810;0.416;6493;180;0;0;0;0;0;0;0;0
Realp;1212;34216;0.416;6491;150;0;0;0;0;0;0;0;0
Spiringen;1218;29280;0.331;6464;830;0;0;0;0;0;0;0;0
Wassen;1220;30937;0.371;6484;405;0;0;0;0;0;0;0;0
Innerthal;1343;33594;0.396;8858;177;0;0;0;0;0;0;0;0
Alpthal;1361;40864;0.447;8849;621;0;0;0;0;0;0;0;0
Illgau;1363;31149;0.375;6434;797;0;0;0;0;0;0;0;0
Engelberg;1402;52401;0.611;6388;4186;0;0;0;0;0;0;0;0
Sachseln;1406;42218;0.43;6067;5170;0;0;0;0;0;0;0;0
Nuvilly;2035;33910;0.374;1485;446;0;0;0;0;0;0;0;0
Rueyres-les-Prés;2039;38212;0.411;1542;474;0;0;0;0;0;0;0;0
Villeneuve (FR);2047;31606;0.377;1527;6052;0;0;0;0;0;0;0;0
Delley-Portalban;2051;43460;0.475;1567;1173;0;0;0;0;0;0;0;0
Le ChÃ¢telard;2067;32157;0.414;1689;#NV;0;0;0;0;0;0;0;0
